ID,¿Cúal es tu horario de trabajo normalmnete ?,¿Eres madrugador o nocturno?,¿Prefieres un sitio ruidoso o silencioso?,¿Cúal es tu nivel educativo?,¿Te gusta leer?,¿Te gusta ir al cine?,¿Practicas algun deporte o actividad recreativa?,¿Prefieres vivir con mascotas o sin mascotas?,¿Te gusta cocinar ?,¿Sigues alguna dieta?,¿Te gusta fumar?,¿Te visitan frecuentemente?,¿eres una persona ordenada o relajada ?,¿Qué generos de musica te gustan?,¿Acostumbras escuchar musica en volumen alto?,¿Tu plan perfecto seria tarde de pelis o salir a algun lugar a divertirte?,¿Tocas algun instrumento musical?
1,mañana,madrugador,silencioso,preparatoria,si,no,si,sin mascotas,si,si,no,si,ordenada,salsa,si,pelis,no
2,mañana,madrugador,ruidoso,universidad,si,si,si,sin mascotas,no,si,si,si,relajado,cumbia,si,salir,no
3,tarde,madrugador,silencioso,preparatoria,no,si,si,sin mascotas,no,no,no,si,relajado,salsa,no,pelis,si
4,tarde,nocturno,silencioso,universidad,si,no,no,con mascotas,no,si,no,si,relajado,rock,si,salir,no
5,tarde,madrugador,silencioso,preparatoria,si,no,no,con mascotas,si,no,no,si,ordenada,rock,no,salir,no
6,mañana,madrugador,silencioso,universidad,no,si,no,con mascotas,no,no,si,si,relajado,salsa,no,pelis,no
7,mañana,nocturno,silencioso,universidad,si,si,si,con mascotas,si,no,si,si,relajado,electronica,si,pelis,no
8,tarde,madrugador,ruidoso,universidad,no,no,si,sin mascotas,no,si,si,no,ordenada,cumbia,si,salir,si
9,noche,nocturno,silencioso,preparatoria,si,no,si,sin mascotas,si,no,si,si,relajado,salsa,si,pelis,si
10,mañana,nocturno,silencioso,preparatoria,si,no,si,sin mascotas,no,no,no,si,ordenada,pop,si,pelis,no
11,noche,nocturno,ruidoso,secundaria,no,no,si,con mascotas,si,no,si,si,relajado,rock,si,pelis,no
12,noche,nocturno,silencioso,preparatoria,si,si,si,con mascotas,no,no,no,si,ordenada,pop,si,pelis,si
13,tarde,madrugador,silencioso,secundaria,no,no,no,sin mascotas,si,si,si,no,ordenada,cumbia,si,salir,si
14,tarde,nocturno,silencioso,preparatoria,si,no,no,sin mascotas,si,no,no,no,ordenada,salsa,no,pelis,no
15,noche,madrugador,silencioso,universidad,si,no,si,sin mascotas,no,si,si,no,relajado,pop,si,salir,si
16,tarde,madrugador,silencioso,secundaria,no,si,si,con mascotas,si,si,si,si,relajado,rock,no,salir,no
17,noche,nocturno,ruidoso,universidad,si,si,si,sin mascotas,no,si,si,si,ordenada,rock,no,pelis,si
18,noche,madrugador,ruidoso,secundaria,no,no,no,sin mascotas,no,no,no,no,relajado,pop,no,pelis,si
19,mañana,madrugador,silencioso,universidad,no,si,si,sin mascotas,si,no,no,no,relajado,pop,no,pelis,si
20,noche,madrugador,silencioso,secundaria,si,no,si,sin mascotas,no,no,no,si,relajado,pop,no,pelis,no
21,mañana,nocturno,ruidoso,preparatoria,si,si,no,sin mascotas,no,si,si,si,relajado,cumbia,si,pelis,si
22,noche,nocturno,silencioso,universidad,si,no,si,con mascotas,si,si,no,si,relajado,rock,no,pelis,no
23,tarde,madrugador,silencioso,preparatoria,si,si,si,con mascotas,no,no,si,no,relajado,rock,si,salir,si
24,tarde,nocturno,ruidoso,preparatoria,no,si,no,con mascotas,no,si,no,si,ordenada,cumbia,si,salir,no
25,noche,nocturno,ruidoso,secundaria,si,no,no,con mascotas,no,si,si,si,relajado,electronica,si,salir,no
26,mañana,madrugador,ruidoso,preparatoria,si,no,si,sin mascotas,no,si,si,no,ordenada,rock,no,pelis,si
27,noche,nocturno,silencioso,universidad,si,si,si,con mascotas,no,si,si,no,relajado,cumbia,no,salir,no
28,mañana,nocturno,silencioso,preparatoria,si,no,si,con mascotas,no,no,si,no,relajado,rock,no,salir,no
29,tarde,madrugador,ruidoso,universidad,no,no,no,sin mascotas,no,no,si,si,relajado,salsa,no,salir,si
30,noche,nocturno,silencioso,secundaria,si,si,no,con mascotas,no,no,si,si,ordenada,pop,si,pelis,no
31,mañana,madrugador,ruidoso,secundaria,no,no,no,con mascotas,si,no,no,si,relajado,rock,no,pelis,si
32,mañana,nocturno,silencioso,secundaria,no,no,no,sin mascotas,si,si,si,no,ordenada,cumbia,si,salir,si
33,noche,madrugador,ruidoso,universidad,si,si,si,sin mascotas,no,no,no,no,relajado,pop,si,salir,si
34,noche,madrugador,ruidoso,secundaria,si,si,si,sin mascotas,no,si,no,si,relajado,salsa,no,salir,no
35,noche,madrugador,ruidoso,universidad,si,no,no,sin mascotas,no,no,no,no,ordenada,rock,si,pelis,no
